FER_ID:8,融资方账户ID：1--返回结果:https://www.yeepay.com/app-merchant-proxy/node?p0_Cmd=Buy&p1_MerId=10001126856&p2_Order=8150811151915052&p3_Amt=0.01&p4_Cur=CNY&p8_Url=http://fina.taogucheng.com/YeePayOnline/PayCallBack&pr_NeedResponse=1&hmac=04f813afc0fcbf90b65389a01b1c1655金额0.01
FER_ID:8,融资方账户ID：1--返回结果:?busi_partner=101001?dt_order=20150811164041?info_order=用户购买融资方充值?money_order=0.01?name_goods=融资方充值?no_order=20150811164041?notify_url=http://yourdomain/notify_url.aspx?oid_partner=201408071000001545?risk_item={"frms_ware_category":"1999","user_info_full_name":"你好"}?sign=ad54c800e8a6685e3a05128f967de7ba?sign_type=MD5?timestamp=20150811164041?url_order=?url_return=http://yourdomain/urlReturn.aspx?user_id=8?userreq_ip=192.168.1.1?valid_order=10080?version=1.0金额0.01
FER_ID:8,融资方账户ID：1--返回结果:?busi_partner=101001&dt_order=20150811164211&info_order=用户购买融资方充值&money_order=0.01&name_goods=融资方充值&no_order=20150811164211&notify_url=http://yourdomain/notify_url.aspx&oid_partner=201408071000001545&risk_item={"frms_ware_category":"1999","user_info_full_name":"你好"}&sign=78f6d1feedb4beab14716d0763870624&sign_type=MD5&timestamp=20150811164211&url_order=&url_return=http://yourdomain/urlReturn.aspx&user_id=8&userreq_ip=192.168.1.1&valid_order=10080&version=1.0金额0.01
FER_ID:8,融资方账户ID：1--返回结果:?busi_partner=101001&dt_order=20150811164319&info_order=用户购买融资方充值&money_order=0.01&name_goods=融资方充值&no_order=20150811164319&notify_url=http://yourdomain/notify_url.aspx&oid_partner=201408071000001545&risk_item={"frms_ware_category":"1999","user_info_full_name":"你好"}&sign=f7cd18a6c1696424f30756c8e02f83fd&sign_type=MD5&timestamp=20150811164319&url_order=&url_return=http://yourdomain/urlReturn.aspx&user_id=8&userreq_ip=192.168.1.1&valid_order=10080&version=1.0金额0.01
FER_ID:8,融资方账户ID：1--返回结果:?busi_partner=101001&dt_order=20150811164343&info_order=用户购买融资方充值&money_order=0.01&name_goods=融资方充值&no_order=20150811164343&notify_url=http://yourdomain/notify_url.aspx&oid_partner=201408071000001545&risk_item={"frms_ware_category":"1999","user_info_full_name":"你好"}&sign=ad62c3e7e3aabcbfe65910f4360301fe&sign_type=MD5&timestamp=20150811164343&url_order=&url_return=http://yourdomain/urlReturn.aspx&user_id=8&userreq_ip=192.168.1.1&valid_order=10080&version=1.0金额0.01
FER_ID:8,融资方账户ID：1--返回结果:https://yintong.com.cn/payment/bankgateway.htm?busi_partner=101001&dt_order=20150811164530&info_order=用户购买融资方充值&money_order=0.01&name_goods=融资方充值&no_order=20150811164530&notify_url=http://yourdomain/notify_url.aspx&oid_partner=201408071000001545&risk_item={"frms_ware_category":"1999","user_info_full_name":"你好"}&sign=a201c162a9e21448859815cfcbbb081e&sign_type=MD5&timestamp=20150811164530&url_order=&url_return=http://yourdomain/urlReturn.aspx&user_id=8&userreq_ip=192.168.1.1&valid_order=10080&version=1.0金额0.01
FER_ID:8,融资方账户ID：1--返回结果:https://yintong.com.cn/payment/bankgateway.htm?busi_partner=101001&dt_order=20150811164658&info_order=用户购买融资方充值&money_order=0.01&name_goods=融资方充值&no_order=20150811164658&notify_url=http://yourdomain/notify_url.aspx&oid_partner=201408071000001545&risk_item={"frms_ware_category":"1999","user_info_full_name":"你好"}&sign=04fef86dc9ca8a5b0c68b2375c7e7e89&sign_type=MD5&timestamp=20150811164658&url_order=&url_return=http://yourdomain/urlReturn.aspx&user_id=8&userreq_ip=192.168.1.1&valid_order=10080&version=1.0金额0.01
FER_ID:8,融资方账户ID：1--返回结果:https://yintong.com.cn/payment/bankgateway.htm?busi_partner=101001&dt_order=20150811165305&info_order=用户购买融资方充值&money_order=100&name_goods=融资方充值&no_order=20150811165305&notify_url=http://yourdomain/notify_url.aspx&oid_partner=201408071000001545&risk_item={"frms_ware_category":"1999","user_info_full_name":"你好"}&sign=340e7539caf65dbfe56aa23404a1d041&sign_type=MD5&timestamp=20150811165305&url_order=&url_return=http://yourdomain/urlReturn.aspx&user_id=8&userreq_ip=192.168.1.1&valid_order=10080&version=1.0金额0.01
FER_ID:8,融资方账户ID：1--返回结果:https://yintong.com.cn/payment/bankgateway.htm?busi_partner=101001&dt_order=20150811170231&info_order=用户购买融资方充值&money_order=0.01&name_goods=融资方充值&no_order=20150811170221&notify_url=http://yourdomain/notify_url.aspx&oid_partner=201408071000001545&risk_item={"frms_ware_category":"1999","user_info_full_name":"你好"}&sign=b21942b500f0f680968fc424fc770cec&sign_type=MD5&timestamp=20150811170231&url_order=&url_return=http://yourdomain/urlReturn.aspx&user_id=8&userreq_ip=192.168.1.1&valid_order=10080&version=1.0金额0.01
FER_ID:8,融资方账户ID：1--返回结果:https://yintong.com.cn/payment/bankgateway.htm?busi_partner=101001&dt_order=20150811170235&info_order=用户购买融资方充值&money_order=0.01&name_goods=融资方充值&no_order=20150811170235&notify_url=http://yourdomain/notify_url.aspx&oid_partner=201408071000001545&risk_item={"frms_ware_category":"1999","user_info_full_name":"你好"}&sign=6df0ab6bc94c398b164b8ff6bb4613f1&sign_type=MD5&timestamp=20150811170235&url_order=&url_return=http://yourdomain/urlReturn.aspx&user_id=8&userreq_ip=192.168.1.1&valid_order=10080&version=1.0金额0.01
FER_ID:8,融资方账户ID：1--返回结果:https://yintong.com.cn/payment/bankgateway.htm?busi_partner=101001&dt_order=20150811171220&info_order=用户购买融资方充值&money_order=0.01&name_goods=融资方充值&no_order=20150811171216521&notify_url=http://yourdomain/notify_url.aspx&oid_partner=201408071000001545&risk_item={"frms_ware_category":"1999","user_info_full_name":"你好"}&sign=cf747cccf2c5d1105beb96a55b4d81a1&sign_type=MD5&timestamp=20150811171220&url_order=&url_return=http://yourdomain/urlReturn.aspx&user_id=8&userreq_ip=192.168.1.1&valid_order=10080&version=1.0金额0.01
FER_ID:8,融资方账户ID：1--返回结果:https://yintong.com.cn/payment/bankgateway.htm?busi_partner=101001&dt_order=20150811175150&info_order=用户购买融资方充值&money_order=0.01&name_goods=融资方充值&no_order=20150811175131521&notify_url=http://yourdomain/notify_url.aspx&oid_partner=201408071000001545&risk_item={"frms_ware_category":"1999","user_info_full_name":"你好"}&sign=1d8f4ee0bf79dd43e08a0ab7b7253665&sign_type=MD5&timestamp=20150811175150&url_order=&url_return=http://yourdomain/urlReturn.aspx&user_id=8&userreq_ip=192.168.1.1&valid_order=10080&version=1.0金额0.01
